,index,Unnamed: 0,Feature name,Coefficients,Original feature name,Score-Calc,Score-Preliminary,Final
108,5,,initial_list_status:f,0.0,initial_list_status,0.0,0.0,0.0
109,6,,term:60,0.0,term,0.0,0.0,0.0
110,7,,emp_length:0,0.0,emp_length,0.0,0.0,0.0
111,8,,mths_since_issue_d:<38,0.0,mths_since_issue_d,0.0,0.0,0.0
112,9,,int_rate:>20.281,0.0,int_rate,0.0,0.0,0.0
113,10,,mths_since_earliest_cr_line:<140,0.0,mths_since_earliest_cr_line,0.0,0.0,0.0
114,11,,delinq_2yrs:>=4,0.0,delinq_2yrs,0.0,0.0,0.0
115,12,,inq_last_6mths:>6,0.0,inq_last_6mths,0.0,0.0,0.0
116,13,,open_acc:0,0.0,open_acc,0.0,0.0,0.0
117,14,,pub_rec:0-2,0.0,pub_rec,0.0,0.0,0.0
118,15,,total_acc:<=27,0.0,total_acc,0.0,0.0,0.0
119,16,,acc_now_delinq:0,0.0,acc_now_delinq,0.0,0.0,0.0
120,17,,total_rev_hi_lim:<=5K,0.0,total_rev_hi_lim,0.0,0.0,0.0
121,18,,annual_inc:<20K,0.0,annual_inc,0.0,0.0,0.0
122,19,,dti:>35,0.0,dti,0.0,0.0,0.0
123,20,,mths_since_last_delinq:>=57,0.0,mths_since_last_delinq,0.0,0.0,0.0
124,21,,mths_since_last_record:>=87,0.0,mths_since_last_record,0.0,0.0,0.0
